"","Unnamed..0","tissue","endometriosis","severity","p32837_at","p210678_s_at","AGPAT2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.6751536083478,6.3712230359898,6.0231883221688
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88355351183607,6.78116347828001,6.83235849505804
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.82443263111771,6.852101927503,6.33826727931035
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.63667855208546,7.60472424930278,8.12070140069412
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.32712179612993,6.63507890424765,6.48110035018879
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.63488269658892,7.28934694823453,7.46211482241173
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.24672453147382,7.13402961517032,7.19037707332207
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.06074371451187,6.48036557367781,6.77055464409484
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.77191355108521,6.6225053229074,6.6972094369963
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.53475735704788,6.62059513761765,6.57767624733277
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.15294458166368,7.28934694823453,7.2211457649491
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.821573438513,6.80198267233306,6.31177805542303
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.06757981796542,7.46334875110516,7.76546428453529
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.9577159078862,6.58533220963699,6.7715240587616
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.2570933439968,6.64666422008431,6.95187878204056
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.78026142041192,7.20373273127782,7.49199707584487
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.52570685900834,7.28934694823453,7.90752690362143
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.2733931475093,7.02890059515268,7.15114687133099
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.90426920667976,6.54394548240718,6.72410734454347
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.3335587539219,9.13874558157766,9.73615216774978
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.50716605687836,7.47974545903317,7.99345575795576
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.66121336861907,7.49516368938269,8.07818852900088
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.73582840713969,7.7670138855648,8.25142114635224
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.0100650423381,8.14353296609514,9.07679900421662
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.48339353204216,8.24273748279356,8.86306550741786
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.72444268629864,8.43692792061165,9.08068530345514
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.3168260996362,10.1202902164702,10.7185581580532
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.0416784263534,8.68217232800363,9.36192537717852
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.57813476695144,7.47819034045207,8.02816255370175
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.2212144566178,9.10562331957373,9.66341888809577
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.2832230280694,9.32919766060597,9.80621034433769
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.28714899032757,7.94637557256526,8.61676228144641
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.0466365638715,9.57860786975313,10.3126222168123
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.4193682617072,8.95001675720187,9.68469250945454
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.08163179834956,6.72772967411138,6.90468073623047
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.1129240891076,8.13039710736947,8.62166059823853
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.084511754613,8.75274604531253,9.41862889996277
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.02382432533609,7.12418670313896,7.57400551423753
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.68819076348441,8.73921958730442,9.21370517539442
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.681112186888,9.70990389694436,10.1955080419162
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.29239985073723,8.41642135606868,8.85441060340295
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.73563222310876,8.63037733393663,9.1830047785227
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.71667627120674,7.80021491750878,8.25844559435776
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.07182658943242,8.21741571185264,8.64462115064253
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.58999422180099,7.46334875110516,8.02667148645308
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.84944598110263,8.81222198311253,9.33083398210758
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.5355960075634,9.54528640452631,10.0404412060449
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.106918396755,8.85473558029307,9.48082698852404
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.0010856892449,8.40346625429821,9.20227597177156
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.89630618130663,8.90093149707489,9.39861883919076
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.70988292485417,8.5453896517682,9.12763628831119
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5816257907792,9.26718059713555,9.92440319395737
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.67194712439002,8.77236324645003,9.22215518542002
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.7083353392025,9.46978386573072,10.0890596024666
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.89097011102421,8.75754084743451,9.32425547922936
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.63454973280656,6.87140535058179,7.25297754169418
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.5800083976389,9.48397008183606,10.0319892397375
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.87689812885406,7.71133522061205,8.29411667473305
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.13107192967462,8.33876646029371,8.73491919498417
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.5551579692887,7.63937346891983,8.09726571910426
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.82058420260268,8.50665770297455,9.16362095278862
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.12660575988051,7.31381983056475,7.72021279522263
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.75781173766423,7.61909675525859,8.18845424646141
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53826640360573,7.82544762999672,8.18185701680122
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.39860012297442,6.85728123011624,7.12794067654533
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.4542556909887,8.12267367075392,8.78846468087131
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.83708099650076,8.30411334727338,9.07059717188707
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.37767124808463,6.93758922618481,7.15763023713472
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.63805169994254,7.19083353718098,7.41444261856176
