"","Unnamed..0","tissue","endometriosis","severity","p226802_s_at","p233132_at","BMS1P20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.14794289912211,6.99544615843592,7.07169452877901
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46771771122501,5.91633500977347,6.69202636049924
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.8214882359113,6.05354108276169,6.93751465933649
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.40377870950224,5.75586472360134,6.57982171655179
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.91770570706964,5.83471103782534,6.37620837244749
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.85927590776732,5.75586472360134,6.30757031568433
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,5.83038462718212,6.18879173792653
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.57508162732716,5.92408368086559,6.74958265409638
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.72875623478461,5.75586472360134,6.74231047919297
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.85882823547581,5.89390780764382,6.37636802155981
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.17528389629032,5.75586472360134,6.96557430994583
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.10572552494845,5.75586472360134,6.43079512427489
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.94257102068637,6.07089541946937,7.00673322007787
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.94806907281298,5.98892718561898,6.96849812921598
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.86386044307301,6.01293971531258,6.9384000791928
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.80070473406031,5.68871122567381,6.24470797986706
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.2581762596579,5.68889178166521,6.97353402066156
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46993949104257,5.8223242994531,6.64613189524784
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.25047236786518,5.75586472360134,7.00316854573326
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.12642797368167,5.88102843313903,6.00372820341035
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.61576522202073,5.65822625890124,6.13699574046099
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.57137300734131,5.28136429718788,5.92636865226459
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.22343212312397,5.76936841825327,6.49640027068862
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25953635948711,5.85321427640981,6.05637531794846
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.4812064770719,5.82739574787905,6.15430111247547
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,5.65822625890124,6.10271255378609
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.06571709333417,5.10681210365195,6.08626459849306
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.45431422768859,5.83471103782534,6.14451263275696
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.17164851005246,5.93862572757265,6.05513711881255
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.31006444728123,5.75586472360134,6.03296458544128
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.06174997784687,5.83471103782534,6.4482305078361
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.72496658121857,5.45269122914379,6.08882890518118
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.75586472360134,6.15153178613614
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.26661000157586,5.10431344663077,5.68546172410332
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.70793139535804,5.89390780764382,6.80091960150093
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.32737655363764,5.75586472360134,6.04162063861949
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.68639380478719,6.11679632672906
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.62425979751321,5.75586472360134,6.19006226055727
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.64844471414627,6.09782178140861
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.75586472360134,6.15153178613614
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.0643657650387,6.35927536264282,6.71182056384076
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.75586472360134,6.15153178613614
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,6.14670597940982,6.34695241404038
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,5.64676966924745,6.09698425895919
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25199890412587,5.89977757242153,6.0758882382737
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.79171899663377,5.79998658615532,6.29585279139454
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.77715743519424,6.08200684060593,6.42958213790009
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.65733584911816,5.72978528542458,6.19356056727137
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.49372801427131,5.30426588011999,5.89899694719565
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,4.87530452442699,5.71125168654896
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,5.5013112138203,6.02425503124562
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,5.68966990257742,6.11843437562418
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.29859479860491,5.55466876129699,5.92663177995095
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.30420530418245,5.75076105275158,6.02748317846702
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.61620621803047,5.89420730559639,6.25520676181343
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.46147295299644,6.21872446596438,6.34009870948041
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.93474573717351,6.31088949396815,6.62281761557083
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54489873070774,5.83471103782534,6.18980488426654
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.44336296161641,5.65270899786689,6.54803597974165
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.91200765872293,6.56519431474603,6.73860098673448
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,5.92857138690356,6.23788511778725
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.27974612917298,6.18461029201038,6.23217821059168
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.83640305209631,5.83471103782534,6.33555704496082
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.24149395243426,5.89390780764382,6.56770088003904
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.58995562618846,5.89390780764382,6.24193171691614
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.54719884867094,6.36991919552734,6.45855902209914
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54719884867094,6.11694706233305,6.332072955502
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.8847302073687,6.62355893662026,7.25414457199448
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.16300937355094,6.39345017399411,7.27822977377252
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.76951030216142,6.70962578947892,7.23956804582017
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.29993971104266,6.28432557447127,6.79213264275696
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.59916128099363,5.89390780764382,6.74653454431872
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.86857572520119,6.71987148880209,7.29422360700164
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.94138223056378,6.92192652096866,6.93165437576622
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.37937232908395,6.1080860982156,6.74372921364978
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.20236111661509,6.36971892542813,6.78604002102161
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.31403221092483,6.97214870144408,7.14309045618445
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.10906413101261,5.83471103782534,6.47188758441897
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.36858631238123,6.1747675198989,7.27167691614007
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.5564353028798,5.77803497225754,6.66723513756867
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.98221540250803,5.83146317702049,6.90683928976426
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.61037439606901,6.14221749324843,6.87629594465872
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.35720618040271,5.83471103782534,6.09595860911402
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.51499049851816,5.55904026845628,6.03701538348722
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.50845872337105,5.98708067065111,6.24776969701108
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.47037853077497,5.85617529830849,6.16327691454173
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.54719884867094,5.89390780764382,6.22055332815738
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.46784629022291,5.75586472360134,6.11185550691212
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.77920119768621,5.90974315883178,6.34447217825899
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.12348423804641,5.9346147823613,6.02904951020385
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.54719884867094,5.71343901703573,6.13031893285333
