"","Unnamed..0","tissue","endometriosis","severity","p202782_s_at","p202781_s_at","INPP5K"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.86423086020159,5.43816789635633,6.15119937827896
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02851948201976,6.56214586404217,6.29533267303097
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.05632605963239,6.22277064723408,6.63954835343324
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.37354240804829,7.36222987286555,7.36788614045692
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.20616962476157,6.36755798733304,6.2868638060473
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.33130660016459,6.92727800539132,7.12929230277796
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.67031666109232,6.03468014262741,6.85249840185987
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54503548509662,6.1573153366083,6.35117541085246
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54869494488857,6.50109884357021,6.52489689422939
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.02261791363193,5.90431041554156,6.46346416458675
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.37710270516546,6.09555963613345,6.23633117064946
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.32200321728378,5.46717326032483,5.8945882388043
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.04051524269654,6.20753181905858,6.62402353087756
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.25376296497158,5.87361469088048,6.06368882792603
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.59324051317712,5.61254133831503,6.10289092574608
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88579271900535,6.47789487486427,6.68184379693481
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.53309527472053,6.86794462449845,7.20051994960949
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.0885763909313,6.14376895861845,6.61617267477487
