"","Unnamed..0","tissue","endometriosis","severity","p201188_s_at","p201189_s_at","ITPR3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.84017528269857,9.73909601425122,9.2896356484749
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.61482655734812,9.82127458823973,9.21805057279392
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.94522277287937,8.22690332376612,7.58606304832274
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.18398457149947,10.6482457457704,9.91611515863493
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.37595664719039,8.7667324092367,8.57134452821355
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.00073738794494,10.1929014096483,9.59681939879662
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.60500154564839,9.91180374924054,9.25840264744447
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.7314638141351,8.57816421838356,8.15481401625933
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.79773104776918,9.96065496674566,9.37919300725742
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.42596640062036,8.97057996252129,8.69827318157083
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.51499825611989,8.3949728401225,7.9549855481212
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.74648791728791,8.93140161442398,8.33894476585595
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.3213038491894,9.7235888172839,9.02244633323665
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.98674142928478,8.48668898821003,8.23671520874741
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.40277693130617,9.81567009051991,9.10922351091304
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.95602297581963,9.97736791653016,9.4666954461749
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.08197330397454,10.4928913887192,9.78743234634687
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.93325723896591,9.98894720597547,9.46110222247069
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80450110099539,8.69557666210683,8.25003888155111
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.8653183014018,9.34110171619237,8.60321000879708
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.48362883020032,9.84796387410393,9.16579635215212
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.48059931265779,9.05081332155206,8.26570631710493
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.55567628186184,8.98437689383685,8.27002658784934
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.57370905599955,9.11800161593758,8.34585533596857
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.92514152651113,9.89948534358905,9.41231343505009
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.79846746523122,9.13453997051519,8.46650371787321
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.23970610041545,7.50893960070234,6.8743228505589
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.83394863664092,8.89061499249169,8.36228181456631
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.76281388701872,9.632456825888,8.69763535645336
