"","Unnamed..0","tissue","endometriosis","severity","p218701_at","p222714_s_at","LACTB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507310586457,7.18517583728837,6.84624321187269
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.15027655629144,7.77952259181828,6.46489957405486
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.10910234882075,5.76665250345734,4.93787742613905
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.81079095333918,7.75011551914339,6.78045323624128
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.82350771739539,7.24669006075238,6.53509888907389
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.40005767910381,9.0582438493017,8.22915076420276
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01643847279021,8.43154427796058,7.22399137537539
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.80574789071697,6.01875247400514,5.41225018236105
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.15240984986648,7.12428623376635,6.63834804181641
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.06658409400333,8.89985169980227,7.9832178969028
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.24119759561862,7.10143866669848,6.67131813115855
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.61033181834324,7.31101743837444,6.46067462835884
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.76220495329807,8.1062081106812,7.43420653198964
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.55168197824358,7.3176214486064,6.43465171342499
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.44668191588836,7.89790528314588,7.17229359951712
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.02588753157719,9.03770330894925,8.53179542026322
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27268105449964,9.04955683641207,8.66111894545585
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.01701448521307,8.45313259031781,8.23507353776544
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.84821293494686,9.60932705277343,9.22876999386014
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.36363105159699,8.00264441005958,8.18313773082829
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.93814734420505,6.37100034051879,6.65457384236192
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.62605473084082,8.62064689503929,9.12335081294006
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.43589226953301,6.50004268618167,7.46796747785734
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.23218817305448,6.68011184754829,7.45615001030139
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.67699677512438,6.76551225103845,7.22125451308141
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.65368747097517,4.26741067703364,4.9605490740044
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.80574789071697,4.96014595159349,4.88294692115523
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.80645749999788,6.10134128941471,6.4538993947063
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50785419473269,5.00489230555999,5.75637325014634
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.30078433071425,4.20018495878105,5.25048464474765
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.85268875654111,3.62318886046343,4.73793880850227
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.65056702343907,5.99337375665763,6.32197039004835
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.81278153304259,4.65546389347356,4.73412271325807
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.15027655629144,4.02836268110921,4.58931961870033
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.91062196389728,7.72666586809754,7.81864391599741
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.22637436194425,7.90712958169343,8.06675197181884
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.15189442223772,6.11256102082362,6.13222772153067
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.05057209594626,5.15887521265247,6.10472365429936
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.71238935010497,5.61678013047477,6.16458474028987
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.06392834651768,5.00489230555999,6.53441032603883
