"","Unnamed..0","tissue","endometriosis","severity","p220174_at","p239433_at","LRRC8E"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.89774610383063,5.43844086941056,4.6680934866206
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.2715136826352,5.2959611526881,4.78373741766165
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.05963596796527,5.55565502011238,4.30764549403882
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.38109024342228,7.41499878618759,6.89804451480494
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.00734823930603,4.23943875296838,4.1233934961372
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39954077816735,7.00397639635213,6.70175858725974
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.02928843199666,6.28109656560107,6.65519249879886
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.44214631142609,7.12874173065859,5.78544402104234
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.49620857304099,4.69022367715555,4.09321612509827
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.10191278578369,5.1291103130522,5.11551154941795
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.2715136826352,5.67897754623007,4.97524561443263
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.33434921675396,5.57897273510681,4.95666097593038
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.88435908775825,7.40362758138609,6.14399333457217
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.40347227290994,5.66786836459598,5.03567031875296
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.51047541569954,5.12870206608062,4.81958874089008
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11814632021683,7.14171156095265,6.62992894058474
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.2611161333164,7.8353863869619,7.04825126013915
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.10191278578369,6.24647965774049,5.67419622176209
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.258808957079,7.57736600169763,6.41808747938832
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.37806421233766,9.70917129847979,9.04361775540873
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.11105323116303,8.20587812975941,7.15846568046122
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.72293401065205,7.95940707595618,7.34117054330411
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.5601762157499,8.00979983092756,7.28498802333873
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.57097361818483,8.76876173353401,7.66986767585942
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.28190913341074,9.15313352124878,8.71752132732976
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.90548317291539,7.84169201612301,7.3735875945192
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.14972008745429,7.61933080429864,7.38452544587646
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.41481729570895,7.60129068846555,7.00805399208725
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.8703431020875,7.81548872794096,7.34291591501423
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.53326447606348,8.52960569018462,7.53143508312405
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.91989359909371,7.8630183254987,7.39145596229621
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.15186650215152,8.10548783059568,7.6286771663736
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.61899943704375,8.26498441313068,7.94199192508722
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.8768811430416,7.52053997101758,7.19871055702959
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.94057684822294,7.19204480666857,6.56631082744576
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.03328855531218,8.34026216152468,7.68677535841843
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.64630874261935,8.19732984235211,7.42181929248573
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.73385890656027,7.6497582950424,6.69180860080133
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.13659969296022,8.21437127909059,7.1754854860254
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.26974579557704,10.2726069248878,9.77117636023242
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.64799247710671,8.51996976618011,7.58398112164341
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.33781800619075,8.19739405596776,7.26760603107925
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.48599593674973,9.35865156746754,7.92232375210864
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.40275674765617,7.63081732349358,7.01678703557488
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.24366255563704,8.76521873725845,8.00444064644775
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.13401648326034,7.42495827967161,6.27948738146597
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.90505378350271,8.51387571105467,7.70946474727869
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.38661174090996,8.54503775040874,7.46582474565935
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.33487400787456,8.95498705226263,8.1449305300686
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.7947011442405,6.97979368269457,6.38724741346754
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.31484016381156,7.31745134370014,6.31614575375585
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11343746705593,7.34301507644018,6.72822627174805
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.8706255490742,8.66847974203512,7.76955264555466
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.15176930308591,9.21799756598246,8.68488343453419
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.47900342361322,8.02234645848944,7.25067494105133
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.33125833438235,7.67688257227999,6.50407045333117
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.1801093737416,7.29953418328056,6.73982177851108
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.16766040592565,7.80883437388303,6.98824738990434
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.40138461732675,8.20793989791578,7.30466225762127
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.66027913722474,7.95645168645614,6.80836541184044
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.04055159528024,6.67938657179264,6.35996908353644
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.95700021938435,8.14608162895073,7.05154092416754
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.72115639368963,8.68784402359144,8.20450020864054
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.69386055366502,7.61016956863056,6.65201506114779
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.0936954393186,5.93701349166139,5.51535446549
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.14493115706097,6.28779373733902,5.71636244719999
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.45369422487792,7.27681609467298,6.86525515977545
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.90865207448952,6.45717864099861,5.68291535774406
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.24486991422005,6.32484730490622,5.78485860956314
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.09780411255114,5.8207269620772,5.45926553731417
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.10191278578369,5.93186773533315,5.51689026055842
