"","Unnamed..0","tissue","endometriosis","severity","p243683_at","p243857_at","MORF4L2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.5662569944314,7.73847466339759,6.6523658289145
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.70104366650168,7.39753115553427,6.54928741101797
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.50735513175602,8.49827761234495,6.50281637205048
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.62485064090948,7.19176993135393,6.40831028613171
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.30739094872392,8.04762673742774,6.67750884307583
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.33222330120906,6.29834773580255,5.3152855185058
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.58969615819522,5.44450022232741,5.51709819026131
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.61052234836525,4.91322112655827,4.76187173746176
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.74331295997901,8.41704537771439,7.5801791688467
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.49333990139339,6.90124005064864,5.69728997602101
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.34291209085098,7.52152901878672,5.93222055481885
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.46777241709134,7.86566541949071,6.66671891829102
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80838313978487,5.80856818349108,6.80847566163798
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.14142090946182,7.63301080560572,6.88721585753377
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.4651493022867,8.08982980873192,7.27748955550931
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.7272843386074,7.87165418420481,6.7994692614061
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.82477695341348,7.95346780262912,6.8891223780213
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.22533674288549,8.87494540609917,8.55014107449233
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.16638308707659,8.39003882174753,7.77821095441206
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.04116794747599,3.98614073904953,4.01365434326276
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.32258622444229,4.35177101979939,3.83717862212084
