"","Unnamed..0","tissue","endometriosis","severity","p218947_s_at","p229676_at","MTPAP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.29924972768714,3.47173414521964,4.88549193645339
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.47166808247582,6.98568624394611,7.22867716321096
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.43787089742368,5.99279151157932,6.2153312045015
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.61924675775794,5.35794979067923,5.48859827421859
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.44186683737941,4.80967560847612,5.62577122292777
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91941369525622,5.17341120556498,5.5464124504106
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.61079499706902,3.95461174924191,4.78270337315547
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.94401332089349,5.17803370103737,6.06102351096543
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.65625045041755,5.31006858164908,5.48315951603332
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.85257124316329,6.31741479465706,6.08499301891017
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.04942157301531,6.08978568309536,6.56960362805533
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.63441280214056,6.1801905351053,6.40730166862293
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.527615116436,4.03519929332592,4.78140720488096
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.79931716597993,4.47544286344436,5.63738001471214
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.10191854581979,3.78766666365229,4.94479260473604
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8706023142617,3.58729174732055,4.72894703079112
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91074404441,3.58729174732055,4.74901789586528
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.461192411953,3.67653932791273,4.56886586993287
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.2718202297394,3.58729174732055,4.92955598852997
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.59058186793489,4.33783089136142,4.96420637964816
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.40056523777333,5.41002685662385,5.40529604719859
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.4054662142411,3.58729174732055,4.49637898078083
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.42988673416343,2.26307102615516,3.8464788801593
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.2999013365223,3.98030871533793,4.14010502593012
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.21794083431933,3.47173414521964,3.34483748976949
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.83932424697672,3.42769643669707,3.1335103418369
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.46209354415051,3.47173414521964,3.96691384468507
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.80299778482044,5.06901313493529,5.43600545987787
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.93814743178537,2.79379452067647,2.86597097623092
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.27903367799039,3.31878493104731,3.29890930451885
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.13964568284194,3.47173414521964,3.30568991403079
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.64242739540548,3.58729174732055,3.61485957136301
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.50714196300418,3.42769643669707,3.46741919985062
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.60570701736278,3.47173414521964,3.53872058129121
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.32426408628956,3.67513116907944,5.4996976276845
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.05992791935839,3.42769643669707,4.24381217802773
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.9185696007126,3.65099552044475,4.28478256057867
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.6803500414451,5.78290579673302,5.73162791908906
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.55267930791718,4.04602033156076,4.29934981973897
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.1771613035571,3.42769643669707,3.80242887012708
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.33945643249931,3.92588238811268,4.632669410306
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.93814743178537,3.42769643669707,3.18292193424122
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.44334561700129,2.56192939270799,3.50263750485464
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.00762624959965,3.42769643669707,4.21766134314836
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.1762485775101,3.47173414521964,3.82399136136487
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.65828618581939,4.68398652065819,5.17113635323879
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.90112352891366,3.47173414521964,3.18642883706665
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.83932424697672,2.91564885361807,2.87748655029739
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.1762485775101,3.62419742285259,3.90022300018135
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.1762485775101,3.47173414521964,3.82399136136487
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.68464100799002,3.47173414521964,3.57818757660483
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.1762485775101,3.47173414521964,3.82399136136487
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.93814743178537,3.96598853906852,3.45206798542694
