"","Unnamed..0","tissue","endometriosis","severity","p226946_at","p228594_at","p229299_at","NADK2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.20268254454776,8.85620187659003,4.44919136316317,6.50269192810032
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.55958306890932,7.608663301369,4.16811130281865,6.11211922436566
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.64747834314768,8.35331721086301,3.5697742010435,5.52352325168473
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.08488139569829,7.21320239387963,3.5697742010435,5.28928599687381
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.58695962508166,8.32991130384051,5.79200263750196,6.90295785547471
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91803917321245,7.67160714359617,3.9924982524332,5.86071485641394
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.64747834314768,7.21320239387963,3.5697742010435,5.14348497935694
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.81320756707562,8.30231142098857,3.98838179470206,6.03463359425542
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.5208225330979,8.56362138229413,4.48602493894027,6.52348961811077
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.81810259738429,7.57852646587852,4.90904849738082,6.43522585354788
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.50699665458976,8.44592457162103,5.27431058678836,6.74241060433305
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.89456174050121,8.18167554150763,4.53990122742962,6.20537950314615
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.03731839407673,8.50364453272659,3.68852750758281,5.74316347812871
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.71121498366287,8.38181124389225,4.37770063547787,6.15690895434433
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.46789625588595,9.30947502903817,4.5010187183167,6.75946333441361
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.87037618342762,8.8942596851375,4.24160147988409,6.33541244948307
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.68706505588032,8.72687167969644,4.00166025657616,6.13853233071764
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56268313712091,7.72769662467501,4.91328048965209,6.401220083816
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.021663970629,8.53262181246504,5.51623210799179,6.69017263036194
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.46844875169659,6.84437092542688,3.41975102687106,5.24419023466484
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.20419065294951,7.44893830798311,3.45197280170701,5.36836725421321
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.17070604070968,7.22551393862147,3.98838179470206,5.46153392467774
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.43336610506538,8.01606356701861,3.89645649659866,5.11529538956088
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.21218619225115,7.05452650133232,3.55288320455,5.27319863271116
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.58719074782026,6.59539662793391,3.18934511272539,4.79064416282652
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.07407870153366,7.65240661455441,2.80922426306126,4.84523652638311
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.64747834314768,7.45027705477511,3.23008318511234,5.10927952767838
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.70340582971237,7.3462034780675,4.08255501220392,5.7107214399946
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.28612324516599,7.91461972118992,3.23078790237105,4.81051028957565
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.5504110304994,7.15700617938114,2.50475717400331,4.73739146129462
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.64747834314768,7.24912898774822,3.45197280170701,5.1161933775343
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.62262088441735,7.67090911589921,3.5697742010435,5.28776806712002
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.63504961378252,6.22075624211934,2.26002483141976,4.37194356244054
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.54589653442763,7.01855746796817,3.41515988117517,4.99320462785699
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.63407267328325,8.38767654836939,5.32888625319644,6.78354515828303
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.64747834314768,7.44611118721623,3.41975102687106,5.17111351907832
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.42243318977638,7.91693630516656,3.5697742010435,5.30304789866215
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.63833814943116,7.10814279540276,4.0012572970823,5.58257941397207
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.13440062388947,7.43420285117992,3.41975102687106,5.32945150064682
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.64747834314768,7.96667926715182,3.41975102687106,5.34463621239019
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.31453143594338,8.70213584254597,3.5697742010435,5.52881382651095
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.03093352702693,6.01770016318301,2.61281424427475,4.22048264482823
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.63504961378252,7.70895686907296,3.45197280170701,5.2653264281875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.38722814286426,8.29305867643827,3.61321389070053,5.43116690333435
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.76352928832457,7.28342814808588,3.42988348513607,5.15894697384884
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.64222301862108,8.13101761673575,3.5697742010435,5.44767161213344
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.63014113755989,7.1736525006673,3.45197280170701,5.08525547997807
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.63504961378252,7.17635131963735,3.5697742010435,5.12705837815446
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82893881222913,7.20090025438677,2.66885390246332,4.89956432302641
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.64747834314768,7.61079481518066,2.27606994307314,4.84478103380049
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.12417217781978,7.16685598532681,2.23602791534862,4.84235202616507
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.63504961378252,6.96837111058725,3.18861787419033,4.93067953285337
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.52846686565958,7.56801433174501,3.41975102687106,5.17207740809188
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.64747834314768,7.21320239387963,3.3607926547481,5.07382446392514
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.64747834314768,7.21320239387963,3.71671212691209,5.1924642879798
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.8279222021033,8.33360951903282,4.8057556294773,6.65576245020447
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.64747834314768,7.675879879298,3.5697742010435,5.29771080782973
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.71121498366287,7.08693141392765,3.5697742010435,5.45597353287801
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31171858848058,7.76788135087188,5.0698808182176,6.71649358585669
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.29314242239432,7.21320239387963,3.5697742010435,5.69203967243915
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.32296483120258,7.58104908403822,3.98838179470206,5.63079856998095
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.71121498366287,6.8198590248748,4.17092305119894,5.56733235324554
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.01477760139619,7.99559768792931,4.26103144926425,6.09046891286325
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.94858752575497,8.32027008346755,4.17867006532147,5.81584255818133
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94301340229575,7.32506319901398,4.87498655940948,6.38102105357307
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.24403918648324,7.53465852763998,3.79353008795059,5.5240759340246
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.00799752048803,7.33284538752412,3.81073506691727,5.38385932497647
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.35155705763479,9.2539526580162,5.88005844886522,7.49518938817207
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.99707439512331,8.93574904752002,5.83157869977865,7.25480071414066
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.27357521656813,9.13455714974567,6.22390813472755,7.54401350034712
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.41024691253057,8.68960313772666,6.25888134680498,7.4529104656874
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.7567484406845,9.39923771406039,5.94198811894161,7.36599142456217
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.3524697597802,9.15284290876862,6.33674776784791,7.61402014546558
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.15919825852006,8.98779532336615,5.93170560214364,7.35956639467662
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.66958274668464,8.74012629894506,6.3035933750974,7.57110080690903
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.91848103469883,9.11077294457401,5.79150653383729,7.27358683770338
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.17033893442725,9.04648530362004,6.25596352989374,7.49092925598034
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.36287048427391,8.56815490091968,5.99041588632489,7.30714709050616
