"","Unnamed..0","tissue","endometriosis","severity","p1560116_a_at","p234984_at","NEDD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.99583941883564,7.04242543199777,7.01913242541671
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.71128289572651,6.82718352303575,6.76923320938113
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.11968227796623,5.95455841079974,6.03712034438298
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.52743095318654,6.73850137753115,6.63296616535884
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.44826115439205,7.16370359526677,6.80598237482941
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.67565836929001,6.5623361519866,6.61899726063831
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.36916436587673,5.85833167495892,5.61374802041782
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.53099988542027,6.5623361519866,6.54666801870344
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.93868023854664,6.82718352303575,6.88293188079119
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.15610952399607,6.78289156074686,6.46950054237147
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.69333818074007,6.82973752105519,6.76153785089763
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.21755971510729,7.09193719204168,7.15474845357449
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.57994222591603,6.78572903481912,6.68283563036757
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.55862379000767,6.88055327672727,7.21958853336747
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.9208006994759,7.0425498937545,6.9816752966152
