"","Unnamed..0","tissue","endometriosis","severity","p201321_s_at","p201320_at","SMARCC2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.34804687118764,8.16443253979689,8.75623970549226
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51191879891552,7.86579423555547,8.18885651723549
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.50415983954171,7.99137965923853,8.24776974939012
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.17303323119216,8.37364817120671,8.77334070119944
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.3413924782801,8.6867916611071,9.5140920696936
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.26970322947564,8.28215984174177,8.77593153560871
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.4650473845897,8.88040646142336,8.67272692300653
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.81080917414261,8.72429504849141,8.76755211131701
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.50282981282189,7.88479830157096,8.69381405719643
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.70504831649618,7.20508363088387,7.95506597369002
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.29914323778256,7.25560683174829,8.27737503476543
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.45352596312954,7.72553590036967,8.58953093174961
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.06782292509459,7.55836520158492,8.31309406333975
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.21245191812207,8.65313368616394,8.93279280214301
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.13669240570849,8.54606515974095,8.84137878272472
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.9807805211252,8.16826212559963,8.57452132336241
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.94402716292106,8.37216147052181,8.65809431672144
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.11612648019064,7.57484831250514,8.34548739634789
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.04467859978296,7.41058349329045,8.22763104653671
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.74118244227066,9.40584941273092,9.57351592750079
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.4336024174097,9.30987844783711,9.3717404326234
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.53731889992321,9.01891905048398,9.2781189752036
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5063971279249,9.102912616379,9.80465487215195
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.332800859987,9.57255904379431,9.45267995189066
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.0178388258898,9.71054331497673,9.86419107043326
