"","Unnamed..0","tissue","endometriosis","severity","p202936_s_at","p202935_s_at","SOX9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.53109709285739,4.76715669250023,5.14912689267881
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.76425097315438,3.81710738583049,4.29067917949244
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.39315944704179,5.09702324700449,4.74509134702314
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.48104453385898,8.81379196148882,9.1474182476739
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11517020808831,4.21004888057887,5.16260954433359
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.23177054257494,5.09662416395266,5.6641973532638
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.03651486116739,7.60128335972479,7.31889911044609
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.1713435815571,4.49710820810025,4.83422589482868
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.60038960916251,4.56970429283454,4.58504695099852
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.43107180735308,3.69302363797173,4.0620477226624
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.92856591412698,3.45974525648998,3.69415558530848
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.27679223105123,6.51281737907395,6.89480480506259
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39908377364326,6.98633823375291,6.69271100369808
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.93755559401182,5.13002575867591,5.03379067634387
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.70307154014984,6.88337448471075,6.79322301243029
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.5121024717335,5.12719575172862,4.81964911173106
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.66813382531762,6.25328528957508,5.96070955744635
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.83626718422021,4.95410107739055,5.39518413080538
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.99709846242547,4.4805341658687,4.73881631414709
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.21279778786554,6.51188817584428,7.36234298185491
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.85346407462572,4.13562398963621,5.49454403213096
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.66173008385688,2.38933776532492,3.0255339245909
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.72541746459938,8.23871933277554,8.48206839868746
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.60868950707147,3.26683949063117,5.43776449885132
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.44725635225215,6.12732848186322,7.28729241705769
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.5727223320533,2.3662937636328,3.46950804784305
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.96893279787465,2.63891319534198,3.80392299660832
