"","Unnamed..0","tissue","endometriosis","severity","p203900_at","p215364_s_at","SZT2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.9992747629369,6.00594402261057,6.00260939277373
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.51355603386368,5.14968015602484,5.33161809494426
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.32733536648338,5.36053695196397,5.34393615922368
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.05029946843261,5.93683520335172,5.99356733589216
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.98244751061207,5.97759856540616,5.98002303800912
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01521557993055,5.99231468152142,6.00376513072599
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.51355603386368,5.69726464011202,5.60541033698785
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,6.18501712368646,5.9953553380781
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,5.40927607293961,5.60748481270467
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,5.36053695196397,5.58311525221685
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,5.36053695196397,5.58311525221685
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,5.5418733343569,5.67378344341332
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31293685541248,6.30940890310659,6.31117287925954
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.7489644875314,6.15474067140838,5.95185257946989
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80213617306541,5.79385916857528,5.79799767082035
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.26420644058632,5.92766095816514,6.09593369937573
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,6.16510735563469,5.98540045405221
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.63395790987088,5.36053695196397,5.49724743091742
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.80569355246974,5.51662157488089,5.66115756367532
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.43259242270994,6.64056815807252,6.53658029039123
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.84562489814111,6.60589658577909,6.2257607419601
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.28734519860367,6.24502140343035,6.26618330101701
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.4101502234061,6.49530997730306,6.45273010035458
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.94782250517179,7.31267073315431,7.13024661916305
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.98548501780302,7.06042981886369,7.02295741833336
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.38435986279188,6.53957238522993,6.4619661240109
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.61686200272692,6.0371663682091,5.82701418546801
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.39470528838274,6.89216787039399,6.64343657938837
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.32496003143536,6.013464996478,6.16921251395668
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.50638056317481,5.40329353162776,5.95483704740129
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.58729252474137,7.17801653262458,6.88265452868298
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.34227916445634,6.85029551098901,6.59628733772267
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.12036171780847,7.35937370118302,7.23986770949575
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.99306390191683,6.30801838764844,6.15054114478264
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91495022008541,5.82560986720812,5.87028004364676
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.83665404206147,7.05911521113236,6.94788462659691
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.24096596308121,6.61192474407283,6.42644535357702
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.93066841681119,6.4577073218049,6.19418786930805
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.62562938181864,5.83914925284424,5.73238931733144
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.73726738843711,7.02541296211025,6.88134017527368
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.74200080835073,6.08555510190535,5.91377795512804
