"","Unnamed..0","tissue","endometriosis","severity","p224365_s_at","p238793_at","TIGD7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.97084732120025,4.62172164197033,4.79628448158529
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.8298402202115,3.36689121948542,4.09836571984846
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.09160325086454,3.72238088084714,3.90699206585584
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.90644805308886,3.28307917581243,4.09476361445064
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.14468933765742,4.09809054935414,4.12138994350578
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.97095114952044,3.49647028480375,3.73371071716209
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.27580278094756,2.75962355073702,3.01771316584229
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.4777916672643,4.29701635246499,5.38740400986464
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.73098477054987,4.09809054935414,4.41453765995201
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.9961497679624,4.0086622092177,3.50240598859005
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.46690181837935,4.0086622092177,4.23778201379853
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.99986529221726,3.75558024505481,3.87772276863604
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.63069226947041,4.09809054935414,4.36439140941228
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.54518691348804,4.0086622092177,4.27692456135287
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.40568640168678,3.38183695383832,4.39376167776255
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.83280046069432,3.36555677752178,3.59917861910805
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.86689255564071,3.63542086410456,3.75115670987263
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.86689255564071,4.09809054935414,3.98249155249743
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.50951179715351,4.18000318208016,4.34475748961684
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.95512518167466,3.53229136404967,3.74370827286216
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.42155799993614,3.11554221475915,3.26855010734764
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.80604864770802,2.89225543098185,2.84915203934493
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.92693565913766,3.15910932449986,3.04302249181876
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.87953101102243,2.54074878542178,2.7101398982221
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.74476945133836,2.71136552125128,2.72806748629482
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.82218650756891,3.34691973880484,3.08455312318688
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.82218650756891,4.09809054935414,3.46013852846152
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.81020115225682,4.0086622092177,3.90943168073726
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.21821406348453,3.30888511743423,3.26354959045938
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.08247372443134,3.13624390365577,3.10935881404356
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.10970208579136,4.09809054935414,3.60389631757275
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.88973017432386,3.36857429137384,3.62915223284885
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.74476945133836,2.8785376138476,2.81165353259298
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.74476945133836,3.36555677752178,3.05516311443007
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.61497442638529,5.01747739672262,5.31622591155396
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.21821406348453,3.26110943029715,3.23966174689084
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.74476945133836,3.93994935496254,3.34235940315045
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.28923577920808,4.13917658536526,4.71420618228667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.82218650756891,3.98004355658044,3.40111503207468
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.35423275113789,3.11554221475915,2.73488748294852
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.97903382250977,4.09809054935414,4.03856218593195
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.58205393966661,2.62112787235635,2.60159090601148
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.82218650756891,3.5228562157002,3.17252136163455
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.84710823051269,4.29507455119034,4.57109139085152
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.82218650756891,4.0086622092177,3.41542435839331
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.86689255564071,3.90428846659585,3.88559051111828
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.82218650756891,2.67294602381521,2.74756626569206
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.74476945133836,3.99998933600504,3.3723793936717
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.9178536499694,3.14591576315375,3.03188470656158
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.01325223050852,3.2753355266787,3.14429387859361
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.21821406348453,3.20947295914111,3.21384351131282
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.99742953665073,3.11554221475915,3.05648587570494
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.19273130466568,4.0086622092177,3.60069675694169
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.41185889161681,3.39941183883822,2.90563536522752
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.50859755315974,4.0086622092177,4.25862988118872
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.18842119390635,5.02112082233505,5.6047710081207
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.86689255564071,4.09809054935414,3.98249155249743
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.43374963548881,4.52748490998645,4.98061727273763
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.0409492997643,4.63114628126107,4.83604779051269
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.20160761648112,3.38465815313915,3.79313288481013
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.86689255564071,4.0086622092177,3.93777738242921
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.41916925678475,4.09809054935414,4.75862990306944
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.35155108095233,4.09809054935414,4.72482081515323
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.27285479774027,4.09809054935414,4.6854726735472
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.88636944289772,4.66035505404126,5.27336224846949
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.83966634814534,4.03777719492431,4.43872177153482
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.33782607344576,4.41943908963389,4.87863258153983
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.3936974692392,5.34391562235942,5.86880654579931
