"","Unnamed..0","tissue","endometriosis","severity","p1559881_s_at","p219571_s_at","ZNF12"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.14100090325741,9.98730495902128,8.56415293113935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.43757556254782,9.89239394420644,9.16498475337713
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.79347542008948,9.71455587490735,8.75401564749841
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.64010205629724,9.42749347027002,8.03379776328363
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.26649827723439,9.66795239438984,8.46722533581212
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.90146803688525,9.52789512350345,8.21468158019435
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.88745014542268,8.96659821864627,7.42702418203448
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.73433321237514,10.1100667304969,8.92219997143602
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.66569722367993,9.99307446867034,8.82938584617514
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.67187085633865,9.55254372136008,8.11220728884937
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.28020018532922,9.70014368673682,8.49017193603302
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.48392906628193,9.508342316887,8.49613569158447
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88330405115334,9.95417856665366,8.4187413089035
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.16299192989024,9.84249466615898,8.50274329802461
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.3321487226414,10.0793728927642,8.7057608077028
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.200272349256,9.66544580231342,8.43285907578471
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.9775970523099,9.68231298659079,8.32995501945035
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.28691185807771,9.79194326329859,8.53942756068815
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.54151700109983,9.62854624278839,8.58503162194411
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.64569244803983,7.16046899934175,4.90308072369079
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.4052331077087,4.42872376509228
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.64291372231672,6.1630150361237,4.40296437922021
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.42923267502633,4.44072354875109
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,5.17802894905458,3.81512168576522
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,5.81571791032131,4.13396616639858
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,5.39623927867431,3.92422685057509
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,4.61578893332414,3.5340016779
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.73878203972696,7.75640904233471,5.74759554103083
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,5.14103665791692,3.79662554019639
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.23602791534862,4.62017695292764,3.42810243413813
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,4.85968523855802,3.65594983051694
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,7.27023223724295,4.8612233298594
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,5.35573293561183,3.90397367904385
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,5.14478816147937,3.79850129197761
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.69929677785164,8.530387526803,6.61484215232732
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.64291372231672,6.8875808031879,4.76524726275231
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.64291372231672,6.81987301009066,4.73139336620369
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.64291372231672,7.09595582099508,4.8694347716559
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.83562441304664,7.13700026056958,4.98631233680811
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.29723885070215,5.63685422542068,3.96704653806141
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.58174574135376,7.78770691352207,5.18472632743791
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.23602791534862,4.61578893332414,3.42590842433638
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,4.61578893332414,3.5340016779
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,7.36736277367208,4.80169534451035
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.15275170108509,4.30248306178047
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,7.14031490361687,4.79626466304637
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,5.35573293561183,3.90397367904385
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,5.46646938672448,3.95934190460017
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.6730888580843,4.56265164028008
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.45221442247586,5.33257339933167,3.89239391090377
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.64291372231672,5.62870562154153,4.13580967192912
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,4.61578893332414,3.5340016779
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.53511218693402,4.92233891284796,3.72872554989099
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.04268648552665,6.91412793007417,4.97840720780041
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.23602791534862,5.68783084988336,3.96192938261599
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.15477743966915,8.08251429109042,5.61864586537979
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.33706552783939,4.39463997515763
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.40307615786626,7.77037300913567,5.58672458350097
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.60514863364994,6.85951059518632,5.23232961441813
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.64291372231672,6.50678949657959,4.57485160944815
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.14370665472219,6.92565553648007,5.03468109560113
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45221442247586,6.60216226477395,4.52718834362491
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.40689805944508,7.96474638151303,5.68582222047906
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.04268648552665,7.7881567531909,5.41542161935878
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.95968337958286,8.33149188060086,6.64558763009186
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.01509115876794,7.80178244974782,5.90843680425788
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.25365822111092,7.8936630659831,5.57366064354701
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.06953253646113,8.42179035114879,6.74566144380496
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.02576719037167,8.37331255438671,6.69953987237919
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.66435413545542,8.75785379522974,7.21110396534258
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.03127269388915,9.07976027178485,7.555516482837
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.29230914361731,8.54690158411995,6.91960536386863
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.66460422453781,8.5623576412897,7.11348093291375
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.48314395472303,8.70715283438696,7.09514839455499
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.66777388166582,8.8232501572451,7.24551201945546
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.93531119496009,8.4984014939255,6.7168563444428
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.93273941913419,8.51616705756923,6.72445323835171
