"","sample","tissue","endometriosis","severity","p205416_s_at","p205415_s_at","ATXN3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,8.112335,6.203394
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.936306,8.233315,6.5848105
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.800698,6.837479,5.8190885
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.143288,8.430394,6.786841
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.618024,7.746275,6.1821495
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.019852,8.307886,6.663869
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.143288,7.666142,6.404715
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.481586,8.549383,7.0154845
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.666373,8.339484,6.5029285
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,7.76587,6.0301615
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.075325,8.675207,6.875266
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.720753,8.746412,6.7335825
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.67933,8.982274,6.830802
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.143288,8.307962,6.725625
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.981913,7.673739,6.327826
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.801827,8.247928,6.5248775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.327031,8.576903,6.951967
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.822754,8.306293,6.5645235
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.143288,8.461689,6.8024885
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.143288,7.136166,6.139727
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.749296,6.163652,4.956474
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.993396,6.173861,5.5836285
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02166,7.015565,6.5186125
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,6.009791,5.152122
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.730695,6.171849,4.951272
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.547014,6.171849,4.8594315
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,6.171849,5.233151
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.227265,6.65049,5.9388775
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.596609,6.171849,4.884229
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.814139,5.891495,5.352817
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.307898,5.262983,4.7854405
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.085606,6.065601,5.5756035
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.294453,5.567844,4.9311485
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.232046,6.171849,4.7019475
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.459222,7.719665,6.5894435
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.269079,6.874685,5.571882
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.076791,5.974581,5.025686
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.360827,7.078269,6.219548
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.438156,6.059678,5.248917
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.575807,6.171849,5.373828
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.697714,6.197161,5.9474375
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.444044,6.173861,5.3089525
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,6.173861,5.234157
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.793878,7.455284,6.624581
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.201569,6.169836,5.1857025
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.075021,7.132323,6.103672
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.232046,4.996912,4.114479
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.143288,5.738408,5.440848
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.401097,6.546013,5.473555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.232046,6.727255,4.9796505
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.294453,6.090847,5.19265
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.800698,5.368256,5.084477
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.349504,5.338084,4.843794
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.245761,6.171849,5.208805
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.143288,5.799072,5.47118
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.195006,7.612176,6.403591
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.764842,6.149611,4.9572265
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.364713,6.897777,6.131245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.345439,8.325323,7.335381
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.457256,6.173861,5.3155585
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.800698,6.171849,5.4862735
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.191036,7.012467,6.1017515
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.460533,6.973955,6.217244
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.151143,7.99156,7.0713515
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.586352,7.399987,6.4931695
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.469172,6.174322,5.321747
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.008893,6.306035,5.657464
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.220708,7.927452,7.57408
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.84368,7.827972,7.335826
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.485172,7.88519,7.185181
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.147275,8.509439,7.828357
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.454267,7.998506,7.2263865
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.875316,8.711318,7.793317
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.760471,8.025452,7.3929615
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.373162,8.056457,7.2148095
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.727981,7.936469,7.332225
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199124,7.646576,7.42285
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.8134,8.098566,7.455983
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.996914,7.768418,7.382666
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.204248,8.422479,7.3133635
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.267487,7.953243,7.610365
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.658829,7.902533,7.280681
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.143288,7.151657,6.1474725
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.010056,7.746948,6.878502
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.597486,7.216021,6.4067535
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.294453,6.173861,5.234157
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.800698,5.97803,5.389364
