"","sample","tissue","endometriosis","severity","p202514_at","p202516_s_at","p202515_at","p217208_s_at","DLG1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.017802,6.073904,10.891096,7.008845,8.24791175
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.307405,6.41915,10.031968,6.993066,8.18789725
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.50661,4.829795,9.989508,4.18525,6.87779075
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.218181,4.709747,9.470145,5.38297,6.94526075
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.208187,7.016538,10.240289,6.423591,8.22215125
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.757018,4.97046,9.268319,5.412414,6.85205275
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.955073,3.572924,9.112719,3.453251,5.77349175
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.351893,4.499437,9.961669,4.924777,6.934444
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.356546,6.497523,10.301182,6.663413,8.204666
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.062419,5.166217,9.611233,4.978424,6.95457325
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.634285,6.894538,10.354277,7.25361,8.5341775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.544403,6.383843,10.37955,6.543475,7.96281775
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.346894,4.023458,9.112719,5.817252,6.57508075
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.123903,5.750132,10.458459,5.938577,7.81776775
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.881558,5.655084,10.383466,5.472228,7.598084
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.360729,5.071677,9.850306,5.352312,7.158756
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.882838,5.246752,9.477105,4.705197,6.827973
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53962,5.850098,9.86138,5.757521,7.50215475
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.698062,5.133004,9.539459,5.136675,6.8768
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.921205,2.801496,8.165766,4.907213,5.44892
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.640034,2.801496,8.837415,5.3586,5.90938625
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.226764,2.516235,8.049793,4.951912,5.186176
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.260053,3.134999,9.067551,5.948011,5.8526535
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31918,2.468902,7.96879,3.453251,4.80253075
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.226764,2.468902,8.19203,5.640735,5.38210775
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.226764,2.516235,8.634299,5.723196,5.5251235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.226764,2.345493,8.137369,2.847451,4.63926925
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.176465,3.606055,9.112719,6.178249,6.518372
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.752424,2.507009,9.116801,4.181094,5.389332
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.226764,2.468902,8.788222,4.233742,5.1794075
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.356503,2.516235,8.435215,4.433912,5.18546625
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.961635,3.533617,9.203475,6.861704,6.64010775
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.936437,2.516235,7.19094,3.492557,4.53404225
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.894869,3.083021,7.709206,4.221235,4.97708275
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.276013,5.483193,9.780337,4.332462,6.96800125
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.834152,2.516235,8.099093,4.492339,5.23545475
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.226764,2.57025,8.627112,4.644898,5.267256
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.296384,3.670899,9.382696,5.107163,6.3642855
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.358966,2.236067,8.39309,3.87913,4.96681325
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.988303,2.468902,8.335868,4.041047,4.70853
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.961145,2.57542,9.629893,6.09772,6.0660445
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.978638,2.521764,7.282846,4.074878,4.7145315
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.437128,2.468902,8.671628,3.660069,4.80943175
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.102881,2.811973,8.895821,5.208709,5.754846
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.2731,2.801496,7.438344,5.724039,5.30924475
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.117281,2.468902,8.927906,3.940408,5.36362425
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.195236,2.236067,8.008048,3.660069,4.524855
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.226764,2.814736,8.933135,5.195747,5.5425955
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.226764,2.624332,7.800709,4.877852,5.13241425
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.90634,2.646137,8.363653,3.828076,4.9360515
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.226764,3.060408,8.397506,4.388914,5.268398
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.745414,3.052266,7.142059,3.473813,4.603388
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.27656,2.468902,8.986969,4.467222,5.54991325
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.779279,3.732405,8.76576,6.785652,6.515774
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.233514,2.951937,9.806919,3.839418,5.707947
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.372508,3.632935,9.539319,4.190896,6.1839145
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.01172,2.760161,8.837515,3.972394,5.3954475
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.245748,3.662139,8.988855,4.262596,6.0398345
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.070568,4.445382,9.18368,4.932764,6.6580985
