"","sample","tissue","endometriosis","severity","p201907_x_at","p201908_at","DVL3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.764091,6.916251
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.028107,6.548259
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.149102,6.6087565
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.019119,6.543765
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.972569,7.02049
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,8.521402,6.2949065
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.220451,9.117942,6.6691965
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.75431,9.049301,6.9018055
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.37356,6.7209855
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,8.748474,6.4084425
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,8.678523,6.373467
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.635535,6.851973
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.71794,9.03492,6.87643
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.475086,6.7717485
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.057291,9.670791,6.864041
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.123016,9.181095,6.6520555
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.209714,8.97022,6.589967
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.157022,8.855764,6.506393
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,8.722797,6.395604
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.527446,9.4782,7.502823
