"","sample","tissue","endometriosis","severity","p225118_at","p228443_s_at","KMT5A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.805326,8.156778,6.981052
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.537407,9.637023,8.087215
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.202707,7.979404,7.0910555
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.732613,8.169029,6.950821
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.768763,8.236814,7.0027885
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.862994,8.121088,6.992041
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.768763,8.080489,6.924626
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.998186,7.874847,6.4365165
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.049828,8.587399,6.8186135
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.327642,7.377723,6.3526825
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.334683,8.446873,6.890778
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.410913,8.134749,6.772831
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.069911,7.674602,6.3722565
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.6748,7.84097,6.757885
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.619219,7.861053,6.740136
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.669452,7.651639,6.6605455
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.538419,7.208987,6.373703
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.639226,7.699306,6.669266
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.589255,7.165336,6.3772955
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.400042,6.969071,6.6845565
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.717131,7.771794,7.2444625
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.532941,7.408926,6.9709335
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.400042,5.85762,6.128831
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.553707,7.68097,7.1173385
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.397942,7.046504,6.722223
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.633466,7.482933,7.0581995
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,6.462449,6.417609
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.403755,7.244405,7.32408
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,7.43047,6.9016195
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.400042,8.085857,7.2429495
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.372769,6.341159,6.356964
