"","sample","tissue","endometriosis","severity","p206363_at","p229327_s_at","MAF"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.069629,5.205008,4.6373185
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.688017,5.300123,4.99407
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.169828,7.851725,7.5107765
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.855986,6.846628,6.351307
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.399838,5.50774,5.453789
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.770362,6.1386,6.454481
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.450212,6.664456,6.557334
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.000653,6.617653,7.309153
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.870633,5.184521,6.027577
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.280285,8.21715,7.7487175
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.795857,6.502306,6.6490815
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.666465,6.037233,5.851849
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.528913,5.717445,5.623179
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.450626,6.288474,6.36955
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.973344,4.943991,5.4586675
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.710002,7.774882,7.242442
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.576489,5.543773,5.560131
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.525303,6.672809,6.099056
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.240739,6.315573,6.778156
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.200575,5.773978,7.4872765
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.864285,4.286512,6.0753985
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.745098,6.680483,8.2127905
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.141393,5.378068,6.7597305
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.231388,6.037241,8.1343145
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.651354,6.796736,8.224045
