"","sample","tissue","endometriosis","severity","p1569402_at","p228327_x_at","MEIS3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.60994,4.758592,4.684266
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867753,5.359557,5.113655
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.291274,5.925266,5.10827
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.619297,5.359557,4.989427
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.894154,5.343825,5.1189895
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.935359,5.01613,4.9757445
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.548013,4.940243,5.244128
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.662087,5.359557,5.510822
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.088333,5.453308,4.7708205
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.312963,5.343825,4.328394
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.902952,4.861466,4.882209
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.867753,4.965441,4.916597
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.195732,5.343825,5.2697785
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.014223,5.883943,4.949083
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.58771,5.343825,4.9657675
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.198834,5.359557,4.7791955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867753,5.343825,5.105789
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.4295,4.657437,4.5434685
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.014075,4.657437,4.335756
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.64367,5.526239,5.5849545
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.037928,5.359557,5.1987425
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.533722,5.545922,5.539822
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219462,6.681584,6.950523
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.887951,7.421711,6.654831
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.903883,5.957809,5.930846
