"","sample","tissue","endometriosis","severity","p215521_at","p226508_at","p238693_at","PHC3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.846344,10.39128,4.601982,6.94653533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.908328,9.401039,4.520427,6.276598
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.457889,8.647927,4.601982,5.569266
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.623863,9.960742,4.049349,6.211318
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.535984,9.217399,4.601982,5.78512166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.507112,9.617471,4.601982,6.24218833333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.577564,8.087312,4.601982,5.75561933333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.114924,9.673,4.601982,6.12996866666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.581789,9.783372,4.125376,6.49684566666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.457889,9.417917,4.712614,5.86280666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.581815,9.343283,4.601982,6.50902666666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.626606,9.539788,4.527985,6.564793
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.535984,8.774676,4.520427,5.61036233333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.179932,9.520725,4.601982,6.434213
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743374,9.780883,4.601982,6.375413
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.806109,9.685109,4.601982,6.3644
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.018453,9.633823,4.520427,6.390901
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.697082,9.630256,4.739187,6.35550833333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004498,9.666393,4.720393,6.46376133333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.145582,8.861807,3.517073,5.84148733333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.622843,9.010938,3.071113,5.568298
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.826002,8.720861,4.168907,5.90525666666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.849668,9.28695,3.931746,5.68945466666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.935933,8.909656,4.221512,6.35570033333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.244691,8.560551,2.84705,5.88409733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.252921,8.856748,4.499121,6.53626333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.577564,8.171869,4.106354,5.61859566666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.226699,9.250756,4.128041,6.201832
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.789345,9.730475,3.483459,6.33442633333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.255322,8.968722,2.259537,5.82786033333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.558894,8.6565,4.539029,6.25147433333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.484182,9.099373,4.240441,6.27466533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.740897,7.881483,2.814052,5.47881066666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.718292,7.786466,2.391989,4.96558233333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.046605,10.160221,5.75015,6.65232533333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.827075,8.591326,3.483459,5.30062
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.071579,8.972138,3.830301,6.29133933333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.578141,9.58631,4.601982,6.25547766666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.309421,9.018499,3.611035,5.97965166666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.304704,9.266194,3.483459,6.018119
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.765593,9.517242,6.112838,6.79855766666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.891917,7.982817,2.814052,5.56292866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.748637,9.206943,3.483459,5.47967966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.577564,9.680665,5.218205,6.49214466666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.161763,8.483336,3.537678,6.06092566666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.047532,9.210888,4.877269,6.04522966666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.723625,8.797335,4.069965,6.196975
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.277509,8.898279,4.155717,6.11050166666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.17931,8.612042,3.483459,5.75827033333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.59446,8.470101,4.520427,5.86166266666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.32483,8.219955,3.59734,5.71404166666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.29534,7.72796,4.520427,5.847909
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.017631,9.591508,3.483459,6.36419933333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.874488,8.597709,3.157273,5.87649
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.557611,9.890558,4.369714,6.93929433333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.960986,10.309745,5.180725,6.48381866666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.615145,9.251222,4.520427,6.12893133333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.738162,9.531571,4.520427,5.93005333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.146591,10.133054,5.451861,6.910502
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.25712,9.349192,4.173955,6.260089
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.577564,9.324892,2.814052,5.57216933333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.459844,9.271847,4.601982,6.11122433333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.686783,10.052209,4.601982,6.44699133333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.457889,10.344931,4.728409,6.17707633333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.995861,10.247877,4.601982,6.61524
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.993323,9.564488,3.467846,6.00855233333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.535984,8.936819,4.19495,5.55591766666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.60612,9.789664,6.613016,6.6696
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.136973,9.935153,5.84303,6.305052
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,9.963391,5.952507,6.457929
