"","sample","tissue","endometriosis","severity","p206020_at","p227542_at","SOCS6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.571123,10.382822,8.9769725
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.400934,9.558818,7.479876
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621828,7.262916,5.942372
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.089158,8.281072,6.685115
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.076155,9.063656,7.5699055
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.188242,8.19079,6.689516
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.23113,6.691183,5.4611565
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.263692,8.319987,6.7918395
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.203823,9.706931,7.455377
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.17176,8.321291,6.7465255
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.858406,8.146058,7.002232
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.37188,8.650332,7.511106
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.651707,7.834678,6.2431925
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.7999,7.946104,6.373002
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.541713,9.641221,8.091467
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.364605,9.248194,7.3063995
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.035769,9.049587,7.042678
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.070724,8.44486,6.757792
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.050911,9.059657,7.555284
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.34942,7.734491,6.0419555
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.7999,8.741047,6.7704735
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.954314,7.687039,5.8206765
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59532,7.173158,6.384239
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.582363,6.74531,5.1638365
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.64295,6.926174,5.284562
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.311392,7.620201,5.9657965
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.832897,6.083141,4.958019
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.796898,7.692737,5.7448175
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.938898,7.635668,5.787283
