"","sample","tissue","endometriosis","severity","p46256_at","p221769_at","SPSB3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.998976,6.615841,7.3074085
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.453352,6.958767,7.2060595
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.186615,7.280061,6.733338
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.128588,7.071073,7.5998305
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.188207,6.283028,6.7356175
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.338452,7.280061,7.8092565
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.499582,7.585457,7.5425195
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.760763,7.11791,7.4393365
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.202391,6.86991,7.5361505
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.210132,6.959038,7.084585
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.41828,6.560331,6.9893055
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.12634,7.233553,7.6799465
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.705083,6.740671,7.722877
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.601148,6.059738,6.830443
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.696284,6.442056,7.06917
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.409262,7.64932,8.029291
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.406957,7.417639,7.912298
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.49399,7.280061,7.3870255
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.470959,6.650363,7.060661
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.439099,8.910591,9.674845
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.660106,7.517948,8.589027
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.572015,7.746747,8.659381
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.402686,8.277158,8.839922
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.036977,8.948913,9.492945
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.086266,9.02951,9.557888
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.558988,9.311027,9.9350075
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.556936,9.173768,9.865352
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.145025,7.789793,8.467409
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.69431,8.478875,9.0865925
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.288453,8.817717,9.553085
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.368487,8.55577,9.4621285
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.428593,7.982708,8.7056505
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.933035,9.433006,10.1830205
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.265435,9.228572,9.7470035
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.68982,6.706326,7.698073
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.061945,8.266195,9.16407
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.350692,8.692658,9.521675
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.253228,7.532994,8.393111
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.847563,8.168107,9.007835
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.368829,9.453656,9.9112425
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.029442,7.280061,8.1547515
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.130304,9.211965,9.6711345
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.263948,8.339064,9.301506
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.945068,8.199316,9.072192
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.933201,8.4759,9.2045505
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.698973,8.061032,8.8800025
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.236914,8.490348,9.363631
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.065883,8.656869,9.361376
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.463385,8.450755,9.45707
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.368847,8.71359,9.5412185
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.691128,8.391791,9.0414595
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.708464,9.580111,10.1442875
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.536007,8.661046,9.5985265
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.756974,7.280061,8.0185175
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.352451,7.839762,8.5961065
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.333605,6.499179,7.416392
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.733997,8.376561,9.055279
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.125171,7.645452,8.3853115
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.008821,7.456943,8.232882
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.918669,7.864528,8.8915985
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.414355,8.218971,8.816663
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.506109,7.280061,7.893085
