"","sample","tissue","endometriosis","severity","p218548_x_at","p233350_s_at","TEX264"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.586479,4.769379,5.677929
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.044856,5.557415,6.3011355
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.558189,6.230831,5.89451
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.690843,6.448281,7.069562
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.582672,6.049778,6.316225
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.406045,6.422952,6.9144985
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.331829,5.347757,6.339793
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.320058,4.966714,6.143386
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.225014,5.217479,6.2212465
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.780245,6.326955,7.0536
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.84639,5.402555,6.1244725
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.533831,4.421033,5.477432
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.835046,3.57497,5.205008
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.965728,4.945911,5.9558195
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.236727,5.832145,6.534436
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.643108,6.030117,6.8366125
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.256766,6.33207,6.794418
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.705177,3.884127,5.294652
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.793385,5.699598,6.2464915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.241869,9.296175,9.769022
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.124356,9.322854,9.723605
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.637706,9.136623,9.3871645
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.906274,8.012728,8.459501
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.449306,9.456985,9.9531455
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.408816,9.843375,10.1260955
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.023721,10.371834,10.6977775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.173331,10.354689,10.76401
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.451097,8.688646,9.0698715
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.506416,9.00979,9.258103
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.65541,10.022721,10.3390655
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.810672,10.025516,10.418094
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.624108,8.817044,9.220576
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.035504,10.222394,10.628949
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.883584,10.226596,10.55509
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.076926,8.116225,8.5965755
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.500408,9.713857,10.1071325
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.71521,9.986339,10.3507745
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.358404,8.456347,8.9073755
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.071824,9.374131,9.7229775
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.715919,9.960635,10.338277
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.618596,8.50631,9.062453
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.23203,9.334826,9.783428
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.633706,8.546092,9.089899
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.358524,8.386198,8.872361
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.400068,9.568966,9.984517
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.39983,9.648399,10.0241145
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.919564,10.071371,10.4954675
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.722219,8.892674,9.3074465
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.791476,9.993594,10.392535
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.153706,10.481661,10.8176835
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.691321,10.070113,10.380717
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.410723,10.565966,10.9883445
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.5098,9.746288,10.128044
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.595891,9.155694,9.3757925
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.122187,9.203945,9.663066
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.251842,8.594906,8.923374
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.485065,9.407642,9.9463535
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.783114,8.915105,9.3491095
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.316889,8.326891,8.82189
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.114021,9.143527,9.628774
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.394081,9.690893,10.042487
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.510424,8.496502,9.003463
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.253276,8.381415,8.8173455
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.115656,8.382566,8.749111
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.962585,8.157936,8.5602605
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.563445,8.859469,9.211457
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.827667,9.139555,9.483611
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.860311,7.1066,7.4834555
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.333453,7.428307,7.88088
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.998558,7.011618,7.505088
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.800012,7.181749,7.4908805
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.77706,7.751113,8.2640865
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.246638,7.532935,7.8897865
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.036815,7.193289,7.615052
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.582705,7.56182,8.0722625
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.818794,7.978301,8.3985475
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.533981,7.795795,8.164888
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.922893,7.802397,8.362645
