"","sample","tissue","endometriosis","severity","p210266_s_at","p212436_at","p214815_at","TRIM33"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.912744,5.046635,4.909534,5.95630433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.491812,6.276981,3.867849,5.87888066666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.911304,4.999909,4.700647,5.87062
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.76729,5.456249,3.602389,5.27530933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.771269,6.147153,4.214146,6.37752266666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.739825,4.568989,4.407964,5.57225933333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.604731,4.004009,3.793907,5.467549
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.607051,4.568989,4.379269,5.85176966666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.670461,4.068607,4.666569,5.13521233333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.609438,6.135534,3.855784,5.53358533333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.863752,5.140237,4.824633,5.60954066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.506117,5.814403,4.893936,6.07148533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.018344,5.636014,3.806893,6.15375033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.906006,5.792643,4.66017,6.11960633333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.109644,6.175531,4.700647,5.995274
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.289365,5.611605,4.933622,6.27819733333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.855773,5.93649,4.911519,6.56792733333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.63849,5.618938,4.954108,5.73717866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.660832,4.555974,4.700647,5.30581766666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.078295,5.885223,5.555232,6.83958333333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.326332,4.555974,4.853796,6.24536733333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.455109,4.555974,4.703229,5.90477066666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.094697,5.153734,5.243166,6.497199
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.600233,4.71461,3.430779,5.581874
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.71602,3.977269,4.536818,5.41003566666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.484708,4.228036,4.575014,5.09591933333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.237139,4.035564,3.753479,5.00872733333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.490349,6.174177,4.700647,6.788391
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.472397,5.886628,5.078754,6.14592633333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.502605,4.555974,4.700647,5.919742
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.219845,4.555974,4.575014,5.783611
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.961514,6.035116,4.268953,6.421861
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.932745,3.365791,4.490096,4.929544
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.046724,2.271667,4.575014,4.631135
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.464572,6.927376,4.857304,7.083084
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.006272,4.668692,3.753479,5.47614766666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.262876,4.035564,6.621615,6.306685
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.836565,6.465085,5.114888,7.138846
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.661259,4.453464,5.292499,6.13574066666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.622896,3.688772,4.700647,5.33743833333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.978567,6.692211,6.590905,7.75389433333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.034962,4.065644,3.992701,5.36443566666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.397517,4.606328,5.037107,5.68031733333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.788846,5.530583,5.241541,6.85365666666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.885588,3.07456,3.937427,4.96585833333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.040098,4.841893,5.748831,6.54360733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.38129,4.035564,4.575014,5.33062266666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.737238,4.555974,5.526251,6.27315433333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.060572,4.51921,6.52192,6.70056733333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.173156,3.459008,4.575014,5.06905933333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.881846,2.772582,4.42189,5.02543933333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.089616,4.035564,4.644698,4.92329266666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.932666,4.804797,4.232075,5.65651266666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.044637,5.171075,5.828898,6.68153666666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.044946,5.943407,4.677664,6.555339
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.436625,7.194676,5.674536,7.435279
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.479197,4.815801,4.842237,6.045745
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.059762,6.492445,4.911519,6.821242
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.796641,7.287076,4.431349,7.17168866666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.722968,5.696636,4.890163,6.76992233333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.802418,5.1302,4.671197,6.20127166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.839536,6.451179,3.371495,6.22073666666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.33632,6.656211,5.03727,7.00993366666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.010097,6.613276,4.700647,6.77467333333333
