"","sample","tissue","endometriosis","severity","p200792_at","p215308_at","XRCC6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.428242,2.995873,7.2120575
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.051335,3.009541,7.530438
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.645424,3.009541,7.3274825
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.728741,2.884148,7.3064445
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.615357,2.916648,7.2660025
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.657633,2.995873,7.326753
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.791341,3.009541,7.400441
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.070134,2.846604,7.458369
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.040804,2.995873,7.5183385
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.798483,2.884148,7.3413155
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.838818,2.995873,7.4173455
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.804423,2.884148,7.3442855
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.056795,2.884148,6.9704715
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.889166,3.009541,7.4493535
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.866504,3.078049,7.4722765
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.459846,3.026167,7.2430065
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.499104,3.009387,7.2542455
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.596131,3.639966,7.6180485
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.565373,3.393625,7.479499
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.659428,3.509098,7.084263
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.096808,4.379509,7.7381585
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.682249,4.222311,7.45228
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.125687,3.009541,7.067614
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.96304,4.888624,7.925832
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.204501,4.383024,7.2937625
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.511841,2.891512,6.2016765
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.480389,4.346917,6.913653
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.033,3.169782,7.101391
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.093018,2.900028,6.496523
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.010487,5.293324,7.6519055
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.388408,4.277827,7.8331175
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.656478,4.467582,7.56203
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.459023,4.040391,6.749707
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.596807,3.845922,6.7213645
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.79432,2.894727,7.3445235
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.888956,3.081362,6.985159
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.853121,4.108972,6.9810465
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.374804,4.084835,7.7298195
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.05511,4.474403,7.2647565
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.614786,3.184322,6.399554
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.270208,5.531839,8.4010235
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.541502,5.859514,8.200508
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.420712,4.211569,6.8161405
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.198701,4.121291,7.659996
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.316155,5.068872,7.6925135
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.598023,3.885035,7.241529
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.865881,3.631405,6.748643
