"","sample","tissue","endometriosis","severity","p212442_s_at","p212446_s_at","p235463_s_at","CERS6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.021204,9.053354,2.783042,6.95253333333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.077127,6.991031,2.912432,5.99353
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.090237,6.855116,2.436543,5.79396533333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.403788,6.794781,2.398816,5.53246166666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.403418,8.693646,3.69421,7.263758
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.044276,6.717629,2.236067,5.66599066666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.294355,5.812863,2.547965,5.21839433333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.461027,6.288186,2.547965,5.765726
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.392839,8.361892,2.99514,6.91662366666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.422718,6.610631,2.547965,5.52710466666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.965515,7.598925,2.547965,6.03746833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.440303,7.909204,2.619015,6.32284066666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.524219,6.239279,2.547965,5.103821
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.527781,7.821202,2.547965,6.29898266666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.123093,8.993897,3.549297,7.555429
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.315139,7.298502,2.547965,6.05386866666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.55687,8.290593,3.252379,7.03328066666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.556596,7.251836,2.616615,5.808349
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.970124,7.520927,2.547965,6.01300533333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.737384,6.239321,2.912432,4.96304566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.914169,7.351138,3.193785,5.81969733333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.779402,7.264297,5.002246,6.34864833333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.443846,6.458012,5.210684,5.70418066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.804849,6.788396,3.084713,4.89265266666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.405196,5.490979,2.503017,4.46639733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.411658,6.827276,2.547965,5.26229966666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.574302,4.99765,2.547965,4.37330566666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.241288,7.323824,3.088557,5.88455633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.254377,6.857255,2.547965,5.553199
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.041884,5.5385,2.717494,4.432626
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.758596,5.489828,2.547965,4.59879633333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.971642,7.07271,2.760929,5.60176033333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.487692,4.100136,2.547965,4.04526433333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.033301,4.99765,2.547965,4.192972
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.558192,9.193252,4.335566,7.36233666666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.51392,6.239279,3.152829,5.30200933333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.043164,6.239279,2.565472,4.949305
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.196585,8.832473,5.057613,7.36222366666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.562254,6.239279,2.596458,5.13266366666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.637596,6.469269,2.594056,4.900307
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.330977,7.775375,3.198733,6.101695
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.950069,6.224533,3.957141,5.04391433333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.611757,6.882224,2.436543,4.97684133333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31112,7.091381,3.124241,5.508914
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100881,5.786427,3.162056,4.68312133333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.735643,7.383709,2.961515,5.69362233333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.009456,5.707939,2.547965,4.42178666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.776122,6.712784,3.084713,5.19120633333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.716615,7.158378,3.166614,5.68053566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.244039,6.032422,3.084713,4.787058
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.825401,6.71213,2.547965,5.02849866666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.666646,4.99765,2.547965,3.73742033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.806554,6.510931,2.501783,4.939756
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.467421,7.022077,2.912432,5.80064333333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.976551,6.559615,4.127183,5.55444966666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.321123,9.297815,3.982608,7.20051533333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.244752,6.319035,2.41533,4.993039
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.483312,7.881218,4.470863,6.61179766666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.817769,8.33087,4.69093,6.946523
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.062029,7.829751,3.42151,6.10443
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.137902,6.24568,3.348173,5.57725166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307083,7.675267,4.547344,6.509898
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.378284,7.677629,3.331546,6.129153
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.248249,7.77099,5.143663,6.72096733333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.080475,8.529752,4.410079,7.00676866666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.524015,7.496972,3.084713,6.03523333333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.121789,6.324289,4.469759,5.97194566666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.235312,9.360156,4.863837,7.486435
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.890133,9.039784,4.272799,7.40090533333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484793,8.737657,5.21129,7.47791333333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.723779,9.185479,4.463628,7.45762866666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.812347,9.697829,5.150606,7.88692733333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.111255,9.526793,3.672448,7.436832
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.538686,9.120408,3.665203,7.108099
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.911417,9.648055,4.709234,7.75623533333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.271545,9.732101,5.142263,8.04863633333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.505168,9.493031,4.749407,7.58253533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.872111,9.122267,4.855559,7.61664566666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932248,9.115867,5.180463,7.74285933333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.393277,9.102916,4.54133,7.67917433333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.182247,9.023311,4.841408,7.682322
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.598704,8.994619,4.791692,7.46167166666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.269827,6.777158,2.912432,5.31980566666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.023501,8.427312,4.55508,7.00196433333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.467401,7.923199,3.580623,6.323741
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.278295,7.158046,3.084713,5.507018
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.192716,6.228861,2.793524,5.07170033333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.448025,6.471879,3.018549,5.31281766666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.474981,7.904466,3.084713,6.15472
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.203979,5.809611,4.520366,5.51131866666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.559875,7.359006,5.40882,6.77590033333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.792151,6.162154,2.436543,5.13028266666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.982871,6.563315,3.786607,5.44426433333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.759437,7.901238,4.087043,6.58257266666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.97431,6.588972,3.358405,5.64056233333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.330966,7.304735,3.735782,6.12382766666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.79005,6.827944,3.509957,5.709317
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.872786,6.349162,3.061334,5.42776066666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.343601,6.842619,3.084713,5.75697766666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.526407,7.102912,3.084713,5.23801066666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531167,7.132001,2.912587,5.858585
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.822765,7.794691,4.668098,6.76185133333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.984811,7.449563,4.54865,6.32767466666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.746399,6.649099,2.547965,5.31448766666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.599467,7.370797,3.236759,6.06900766666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.694206,6.426836,4.214817,5.77861966666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.339834,7.192451,3.663045,5.73177666666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.973376,6.462852,2.547965,4.994731
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.460104,7.785901,4.117984,6.454663
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.91493,6.855934,3.227422,5.332762
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.887369,6.498323,2.547965,4.97788566666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.016444,6.976978,2.556576,5.516666
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.368562,7.921235,4.43111,6.57363566666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.528892,7.526801,2.504773,5.85348866666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.234836,7.168086,3.855949,6.41962366666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.018952,7.007311,2.576983,5.86774866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.118111,6.83985,2.436543,5.46483466666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.342828,6.270768,3.410507,6.00803433333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.193186,6.692799,2.42071,5.76889833333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.729827,7.683215,2.780613,6.397885
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.32223,9.76596,4.836518,7.64156933333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.812609,8.485375,2.917785,6.40525633333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.061748,8.67075,3.443104,7.058534
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.359027,10.358154,5.995241,8.57080733333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.237111,8.665914,3.462739,6.788588
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.710446,8.577199,4.17445,7.15403166666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.965861,8.545619,4.143856,6.885112
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.387046,8.136137,3.654273,6.39248533333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.206009,9.182396,4.668922,7.35244233333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.35308,9.031057,3.789764,7.057967
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.884883,9.521859,5.745996,8.05091266666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.115009,9.103603,3.839703,7.35277166666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.069691,8.751324,3.203886,7.00830033333333
