"","sample","tissue","endometriosis","severity","p215058_at","p228551_at","DENND5B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.595135,5.153881,3.874508
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.431517,4.285964,3.3587405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.431517,4.27169,3.3516035
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,3.643665,3.0378025
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.57851,5.242206,3.910358
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,4.339812,3.385876
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,2.765894,2.598917
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,5.55334,4.061338
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.630472,4.831116,3.730794
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.544416,4.195169,3.3697925
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,5.823255,4.1962955
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,6.114441,4.3418885
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,4.831116,3.700226
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.190769,4.848978,4.0198735
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.18221,4.977037,4.0796235
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.475257,4.82676,3.6510085
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,4.502275,3.4671075
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.544416,4.563016,3.553716
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,4.195169,3.3822525
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,4.213725,3.322621
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.569336,4.30134,3.435338
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.431517,3.47343,2.9524735
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,4.50642,3.46918
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.431517,3.688397,3.059957
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31021,3.688397,2.9993035
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.431517,4.486561,3.459039
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,3.946397,3.1891685
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.43194,4.752128,3.592034
