"","sample","tissue","endometriosis","severity","p234192_s_at","p229312_s_at","GKAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.506442,4.609308,5.557875
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.122414,4.745641,5.4340275
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.884653,4.748739,4.816696
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.123642,4.847623,4.9856325
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.698876,4.798718,5.748797
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.884653,4.467696,4.6761745
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.493324,4.499531,4.4964275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.74274,5.14441,5.943575
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.183313,4.930956,5.5571345
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.025074,4.499531,4.7623025
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.889345,4.499531,5.194438
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.35755,4.681016,5.519283
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.22654,4.499531,4.8630355
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.12067,4.866003,5.9933365
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.645531,5.075607,5.860569
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.739178,4.389774,5.064476
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.08944,4.681016,5.385228
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.694283,4.499531,4.596907
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.026496,4.389774,4.708135
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.386925,6.048619,5.717772
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.443767,5.964956,6.2043615
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.45956,4.681016,4.570288
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.884653,6.912506,5.8985795
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.859559,4.389774,4.1246665
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.942438,5.896298,5.419368
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.035371,7.383786,6.2095785
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.990673,4.930956,4.9608145
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.737818,6.718559,6.7281885
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.715588,6.057809,5.3866985
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.819003,6.597502,6.2082525
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.884653,6.114537,5.499595
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.15418,6.802334,5.978257
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.554459,6.98117,5.7678145
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.832795,5.64524,5.2390175
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.569826,5.845076,6.707451
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.876622,5.024018,4.95032
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.699586,7.018177,5.8588815
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.761712,5.464583,5.6131475
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.090448,7.411418,6.250933
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.950419,5.901558,5.4259885
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.304996,7.317016,6.811006
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.561646,4.499531,4.5305885
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.561646,6.342807,5.4522265
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.038098,6.026027,6.0320625
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.307718,4.681016,4.494367
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.787357,7.313262,7.0503095
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.516454,6.053071,5.7847625
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.990673,4.681016,4.8358445
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.675063,5.974836,5.3249495
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.966012,6.790412,5.878212
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.930081,5.19935,5.0647155
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.148595,4.502475,4.325535
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.39072,5.259483,5.3251015
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.63272,6.99767,6.315195
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.828103,6.296795,6.062449
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.171786,7.897882,8.034834
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.81903,5.85906,6.339045
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.558036,5.287053,5.4225445
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.028686,4.529927,5.2793065
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.239822,5.887395,6.0636085
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.990673,5.204856,5.0977645
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.990673,4.394274,4.6924735
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.267156,5.096784,5.18197
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.698747,8.206177,7.952462
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.388739,6.592568,6.9906535
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.287552,7.225511,6.7565315
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.944234,5.782554,5.863394
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.096027,6.705172,7.4005995
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.620043,6.668979,7.144511
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.060936,7.120562,7.590749
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.910869,6.529236,7.2200525
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.521485,5.993284,6.7573845
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.473603,6.660471,7.067037
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.050449,6.768937,7.409693
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.153017,7.084222,7.6186195
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.898778,5.417452,6.158115
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.08609,6.837461,7.4617755
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.016386,6.138264,6.077325
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.412682,6.579988,6.996335
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.926309,6.926147,6.926228
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.813096,6.741447,7.2772715
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.148074,7.339842,7.743958
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.211078,4.440785,4.8259315
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.257336,6.284716,6.271026
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.21174,6.248361,6.7300505
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.037671,4.389774,4.2137225
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.304653,6.733146,6.0188995
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.08025,4.930956,5.005603
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.973761,5.466335,6.220048
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.73248,5.064567,5.3985235
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.985798,5.755013,5.3704055
