"","sample","tissue","endometriosis","severity","p230388_s_at","p229857_s_at","KANSL1-AS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.423063,2.236067,3.829565
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.355246,3.193762,4.774504
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.908654,3.483456,4.196055
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.584009,2.236067,3.410038
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.572086,2.25766,4.414873
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.815153,2.882023,5.348588
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.743067,2.786921,3.264994
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.649338,3.345908,4.497623
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.809453,2.253837,3.031645
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.306588,2.236067,4.2713275
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.660942,2.236067,3.4485045
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.903816,2.76157,4.332693
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.609813,2.786921,3.698367
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.204856,2.306175,3.2555155
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.133995,2.786921,3.460458
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.164349,2.594996,4.3796725
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.668703,2.811379,5.240041
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.353447,2.236067,4.294757
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.052137,2.236067,3.644102
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.730605,8.254966,9.4927855
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.688001,3.833035,5.760518
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.627964,7.579702,9.103833
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.448476,5.502742,7.475609
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.712788,3.703295,5.7080415
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.098787,6.46265,8.7807185
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.465632,5.119167,6.7923995
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.630588,7.563278,9.096933
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.710552,3.097147,4.9038495
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.584362,2.963103,5.2737325
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.133511,5.67182,7.4026655
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.491652,5.058867,7.7752595
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.986655,3.341671,5.664163
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.880498,3.483456,5.681977
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.270245,4.759593,7.514919
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.65693,3.483456,5.070193
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.115034,3.483456,5.799245
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.409218,7.924513,9.1668655
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.792896,4.648203,6.2205495
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.494241,5.665395,7.079818
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.300113,3.483456,5.8917845
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.354708,4.039372,5.69704
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.859411,3.512856,5.6861335
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.508974,6.243583,7.8762785
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307178,3.483456,5.395317
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.767493,4.48684,6.6271665
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.108344,5.678689,6.8935165
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.178494,7.94333,9.560912
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.929207,6.27317,8.1011885
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.841457,6.800539,8.320998
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.126596,6.874305,8.5004505
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.113654,3.483456,6.298555
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.794727,8.352031,9.573379
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.627162,5.32862,6.977891
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.6181,2.786921,5.2025105
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.436967,4.059706,5.7483365
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.40147,3.573813,5.4876415
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.342224,6.320249,8.3312365
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307178,3.959418,5.633298
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.988394,3.483456,5.235925
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.718987,3.975602,5.8472945
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.574072,5.342433,7.9582525
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.926857,3.481519,5.204188
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.884725,3.483456,5.1840905
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.59527,3.483766,5.539518
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.234009,3.333075,4.783542
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.720587,2.832916,4.7767515
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.820719,3.483456,6.1520875
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.672238,4.005736,5.338987
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.268004,3.276515,4.7722595
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.62918,2.372101,4.0006405
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.256168,5.218498,6.737333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.577113,3.493348,5.0352305
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.823926,3.20418,4.514053
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.748153,3.483456,5.1158045
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.714205,2.786921,4.750563
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.044251,3.490075,5.267163
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.442289,3.483456,4.9628725
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.995387,3.485674,5.2405305
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.288127,4.911212,6.5996695
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.379961,2.837549,4.608755
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.463109,3.483456,4.9732825
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.539681,3.483456,5.0115685
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.003774,3.483456,6.243615
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.640581,3.483456,5.0620185
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.215579,3.483456,5.3495175
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.613813,3.483456,5.5486345
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.765016,4.984985,6.8750005
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.300392,3.829956,6.065174
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.731498,2.600006,4.665752
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.001067,2.964689,4.982878
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.639697,4.215332,5.9275145
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.660898,4.560126,6.610512
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.45401,5.607887,7.5309485
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.939313,3.483456,5.2113845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.024821,8.152599,10.08871
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.270077,2.787971,4.529024
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.995305,4.811199,6.403252
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.593046,5.314728,6.953887
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.953756,3.849538,5.901647
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.420731,3.544765,5.982748
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.151861,5.660285,7.406073
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.180713,4.866987,6.52385
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.814944,7.044862,8.429903
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.897992,3.521929,5.7099605
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.572483,7.92396,9.2482215
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.563088,3.518734,5.040911
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.582224,5.743765,7.6629945
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.45547,4.96608,7.210775
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.983493,3.62599,5.3047415
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.464204,3.483456,5.97383
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.029009,5.664524,7.8467665
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.660348,4.942748,7.301548
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.845539,5.583811,7.214675
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.448408,2.594996,5.021702
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.860503,2.786921,3.823712
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.171371,2.550648,3.3610095
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.598942,2.672022,3.635482
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.841842,3.483456,5.162649
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.525453,3.355962,4.4407075
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.449457,3.124567,4.787012
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.115803,2.492984,3.8043935
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.11213,2.23863,3.67538
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.807248,2.594996,4.201122
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.386303,3.585546,5.4859245
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.076522,2.236067,3.1562945
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.889309,2.594996,4.2421525
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.730159,2.236067,3.483113
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.05898,4.492504,6.275742
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.536241,4.001412,5.7688265
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.547075,2.236067,2.891571
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.323974,2.910704,4.617339
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.096776,4.301568,6.199172
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.83191,2.289121,3.5605155
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.621863,2.786921,4.704392
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.49446,3.057584,4.276022
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.136779,3.483992,5.8103855
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.702481,2.594996,3.6487385
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.144179,2.248897,3.196538
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.248637,3.93738,5.5930085
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.900678,2.594996,4.247837
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.459988,2.594996,4.027492
