"","sample","tissue","endometriosis","severity","p205318_at","p229921_at","KIF5A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.866322,4.0511945
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.129757,4.682912
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.948338,4.5922025
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.160081,4.698074
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.493991,4.365029
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.343293,4.28968
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.60868,4.9223735
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.686423,4.961245
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.77933,4.0076985
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.577075,4.906571
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.723713,4.47989
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.946141,4.091104
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.509138,4.3726025
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.242982,4.2395245
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.521032,4.3785495
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.590431,4.413249
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.93195,4.0840085
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.874017,4.555042
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.685058,4.4605625
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.885384,3.5607255
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.575305,3.405686
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.332471,3.284269
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.733064,3.4845655
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.453282,3.8446745
