"","sample","tissue","endometriosis","severity","p225740_x_at","p225742_at","p236814_at","MDM4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.268106,7.185985,9.472017,8.97536933333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.854902,6.877241,11.623184,9.11844233333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.810206,5.787559,9.919655,8.17247333333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.509491,6.863928,10.507724,8.960381
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.62009,4.787377,9.348212,7.91855966666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.47728,6.458086,10.568038,8.834468
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.56815,5.763202,9.303072,7.87814133333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.62568,5.600036,11.493264,8.90632666666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.754681,6.602832,10.772874,9.04346233333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.08741,4.536532,9.883234,7.83572533333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.763834,6.243619,10.144011,8.71715466666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.171483,6.206687,10.937463,9.105211
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.019237,4.460911,10.531544,8.33723066666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.529287,6.49826,9.819461,8.61566933333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.738962,5.543883,10.050063,8.44430266666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.580211,5.062265,9.991927,8.21146766666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.439028,5.68677,10.665098,8.59696533333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.904452,7.428579,9.535798,8.95627633333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.707854,7.767216,8.917148,8.797406
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.47728,5.05471,11.266609,8.599533
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.490991,5.393632,10.955884,8.61350233333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.370266,5.254783,10.682706,8.43591833333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.47728,2.964235,10.507595,7.64970333333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.105524,5.530082,10.326981,8.32086233333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.864658,4.699998,11.192319,8.58565833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.381883,4.270117,11.992531,8.88151033333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.489355,3.809178,10.989091,7.76254133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.716928,5.511106,10.665591,8.63120833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.613615,4.157112,11.89722,8.88931566666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.235004,5.389703,11.531352,9.05201966666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.057497,4.460911,11.832871,8.45042633333333
