"","sample","tissue","endometriosis","severity","p203346_s_at","p203345_s_at","p203347_s_at","p209705_at","p209704_at","MTF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.694187,8.154673,6.145114,7.431693,6.511869,6.9875072
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31001,8.661275,5.490327,6.846065,5.037722,6.4690798
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.410054,8.928228,5.584849,6.732106,5.262707,6.7835888
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.264697,8.565708,5.186696,6.505442,4.766312,6.257771
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.827582,8.048627,7.818563,7.301308,6.229156,7.2450472
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548626,8.562608,5.981274,6.938279,4.981867,6.6025308
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.536741,7.777194,4.534021,6.484282,4.766312,6.01971
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.445161,9.801863,6.277687,8.54539,6.096844,7.833389
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393825,8.766393,6.161182,7.431693,5.977386,7.1460958
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.702852,8.754373,6.83222,6.860053,6.211489,7.0721974
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.163446,9.487786,7.393731,7.431693,7.383626,7.7720564
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.452489,9.633518,7.850177,7.569269,7.303404,7.9617714
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.840742,6.683883,4.846772,7.431693,4.883302,6.3372784
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.152584,8.841354,7.037953,7.843096,6.492925,7.6735824
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.462049,8.408001,6.319475,7.431693,6.812223,7.2866882
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.387557,7.810287,7.017736,7.348157,6.074162,7.1275798
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507534,7.864835,5.490327,7.053888,5.277037,6.4387242
