"","sample","tissue","endometriosis","severity","p206391_at","p206392_s_at","p221872_at","RARRES1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.061169,3.325044,2.805279,3.397164
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.502786,3.847896,2.236067,3.52891633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.126518,5.519228,4.162052,4.93593266666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.193776,8.223704,7.398873,7.605451
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.502786,4.874512,2.757693,4.044997
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.915433,7.975279,7.692181,7.527631
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.218491,8.096434,7.475984,7.59696966666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.629043,7.231968,6.723083,6.52803133333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.073203,3.328851,2.36301,3.25502133333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.174043,8.31808,8.026683,7.839602
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.673656,5.210735,3.879359,4.92125
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.038032,7.209506,6.965031,6.40418966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.971198,7.570475,6.525655,7.02244266666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.073203,3.552709,3.11211,3.57934066666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.073203,3.859673,2.723269,3.55204833333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.060218,7.697386,7.342732,7.03344533333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.198664,8.943636,8.950462,8.364254
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.742692,7.079199,6.50942,6.44377033333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.437357,9.801955,9.816103,9.351805
