"","sample","tissue","endometriosis","severity","p214764_at","p219037_at","RRP15"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.343631,7.203741,5.773686
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.351389,6.05539,4.7033895
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.250403,6.794227,5.522315
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.679994,6.332215,5.0061045
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.163362,7.280869,5.7221155
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.673796,7.617429,5.6456125
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.469281,5.597051,4.533166
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.246895,6.900902,5.5738985
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.996398,6.788905,5.3926515
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.679994,7.348795,5.5143945
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.308779,7.65644,5.9826095
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.653346,7.742069,6.1977075
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.745647,7.101802,5.4237245
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.308779,7.759682,6.0342305
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.853347,7.329423,6.091385
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.028258,7.144583,5.5864205
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.332399,7.232474,5.7824365
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.281435,8.25237,6.2669025
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.470923,8.037042,6.2539825
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.113112,7.671145,5.8921285
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.092638,8.075497,6.0840675
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.13548,7.30548,5.22048
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.162297,7.194241,5.178269
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.308779,7.236569,5.772674
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.020598,6.673896,4.847247
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.930904,5.908457,4.9196805
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.679994,6.120947,4.9004705
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.315488,7.419731,5.8676095
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.261072,6.153276,4.707174
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.689302,6.611987,5.1506445
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,6.997044,5.338519
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.290911,7.311163,5.801037
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,5.421249,4.5506215
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.195219,5.404822,4.3000205
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.181157,8.37912,6.7801385
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,7.207295,5.4436445
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.308779,6.797663,5.553221
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.31299,8.376434,6.344712
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.843926,7.272832,5.558379
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.715873,5.831334,4.2736035
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.308779,8.128541,6.21866
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,6.161859,4.9209265
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.679994,6.268557,4.9742755
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.113112,7.606829,5.8599705
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.363921,6.897563,5.130742
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.331311,8.331199,6.331255
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.702318,5.515702,4.60901
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,6.849351,5.2646725
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.113112,6.755598,5.434355
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.919694,5.992088,4.955891
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.98023,6.419465,5.1998475
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.571526,6.913411,5.2424685
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.308779,6.951724,5.6302515
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.308779,6.939908,5.6243435
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.30526,7.58329,5.944275
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.146924,8.8708,7.008862
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.217142,7.109179,5.6631605
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874139,8.307958,6.0910485
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.209202,8.983777,7.0964895
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.804651,6.914926,5.3597885
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.679994,6.996373,5.3381835
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.762422,8.497738,6.13008
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.768956,8.535677,6.6523165
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.36905,8.54043,6.45474
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.260438,8.276978,6.768708
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.320879,7.179659,5.750269
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.513081,8.364508,6.4387945
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.580165,9.498484,8.0393245
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.553514,8.773568,7.663541
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.685023,9.13343,7.9092265
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.225326,9.05937,7.642348
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.649721,8.587817,7.118769
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.780207,8.777955,7.279081
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.548483,8.912736,7.2306095
