"","sample","tissue","endometriosis","severity","p1553677_a_at","p1554351_a_at","p228619_x_at","TIPRL"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.464167,8.735671,7.833816,8.011218
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.736967,8.805317,6.687971,7.74341833333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.688383,8.187957,6.578301,7.48488033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.15508,7.929894,5.762214,6.94906266666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.162414,8.376523,7.707257,7.74873133333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.028758,8.738217,7.325969,7.697648
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.731443,7.93274,7.112199,7.59212733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.008383,8.693708,6.687971,7.79668733333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.713544,8.834002,8.171299,8.239615
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.941144,8.81966,6.363959,7.374921
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.985881,9.219953,7.871669,8.35916766666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.984154,9.017923,7.033831,8.01196933333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.422443,7.837239,7.731117,7.66359966666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.666119,8.710475,7.273602,8.216732
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.410222,8.651716,7.328698,8.130212
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.289076,8.55866,7.267494,8.03841
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.222413,7.782771,7.832721,7.612635
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.745473,8.229281,8.542153,8.17230233333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.406867,8.828373,7.536267,8.257169
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.415687,7.563656,7.301111,7.09348466666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.273188,7.665812,7.898046,7.27901533333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.213624,7.92116,7.858884,7.664556
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.029419,6.783392,7.642395,7.48506866666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.797548,7.208516,7.551682,7.18591533333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.659284,6.988454,7.813553,6.82043033333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.951759,6.681689,8.269681,6.96770966666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.194955,6.621424,7.548546,7.12164166666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.507382,7.384823,8.444517,7.445574
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.387494,7.248866,8.425564,7.35397466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.455558,7.376609,7.912339,7.24816866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.167592,7.174262,8.283109,7.208321
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.403641,6.717311,8.849517,6.99015633333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.840243,6.691071,6.687971,6.40642833333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.193228,6.81325,7.663901,6.556793
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.883957,8.37561,8.560965,8.27351066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.691856,7.644578,7.423468,7.25330066666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.364085,7.313826,8.415873,7.36459466666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.285637,8.136632,7.856686,7.75965166666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.218531,7.742483,7.813657,7.591557
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.007975,5.988176,8.394966,6.797039
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.26996,7.480562,8.852087,7.86753633333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.849446,7.503472,7.475268,6.94272866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.927483,6.371111,7.825728,7.04144066666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.812926,7.001009,8.804194,7.53937633333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.619089,7.354891,7.641767,7.205249
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.472294,7.489794,7.463464,7.475184
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.710783,6.770841,6.948047,6.80989033333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.652374,6.860997,6.734338,6.74923633333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.080546,7.227773,7.582562,6.963627
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.88286,5.959121,6.853584,6.56518833333333
